"","lat_36_00000","lat_36_00450","lat_36_00900","lat_36_01350","lat_36_01800","lat_36_02250","lat_36_02700","lat_36_03150","lat_36_03600","lat_36_04050","lat_36_04500","lat_36_05849","lat_36_06299","lat_36_06749","lat_36_07199","lat_36_07649","lat_36_08099","lat_36_08549","lat_36_08999","lat_36_09449","lat_36_09899","lat_36_10349","lat_36_10799","lat_36_11249","lat_36_11698","lat_36_12148","lat_36_12598","lat_36_13048","lat_36_13498","lat_36_13948","lat_36_14398","lat_36_14848","lat_36_15298","lat_36_15748","lat_36_16198","lat_36_16648","lat_36_17098","lat_36_17547","lat_36_17997","lat_36_18447","lat_36_19347","lat_36_19797","lat_36_20247","lat_36_20697","lat_36_21147","lat_36_21597","lat_36_22047"
"lat_36_04500",9.21777049980076,6.86528895437933,5.74602125872683,4.86036450619716,3.77318473358171,2.9197658444106,2.40046955019967,1.89876409957459,1.3410673219455,0.81526475917835,0,1.5218830439106,1.93166697045509,2.68229146664073,3.33956777893095,3.89649233687473,4.55708148073396,4.98357353341655,5.7268723039741,6.14850841704438,6.64918288129642,7.15901802993158,7.73675132859224,8.24945203226847,8.92087748508426,9.63587426856968,10.2465753058229,10.8503930342986,11.4382832202519,11.9565038560391,12.6058143007723,13.2730571475624,13.9006522687594,14.5210640164849,15.1981679286144,15.9807301363497,16.9066279360265,17.3378077761599,18.0808513762863,18.6849050035889,20.3489924805437,21.5553183035417,22.0064574503706,22.9769224621379,23.8861642656466,24.8491053069027,25.7470745295365
"lat_36_05849",10.2984453259271,8.09057184867721,7.03637169338685,6.18937379082518,5.19235245921666,4.40099005772573,3.87762785467525,3.36508567606896,2.81194998312645,2.30090765604722,1.5218830439106,0,0.499882617263385,1.38736499800119,2.04746593923264,2.57030418281566,3.23918074331877,3.64741240740865,4.36059501683101,4.77161242009731,5.25243899949162,5.75267699753935,6.32769045271458,6.83354460627077,7.51731198686481,8.24782179675215,8.8608299580658,9.46572435574353,10.0532976884659,10.5647683043855,11.2192698147012,11.8926344965165,12.522736368052,13.1448661817411,13.8274723708458,14.6232391531295,15.5618515739159,15.99532115576,16.737893752433,17.3463893639934,19.0260438930479,20.2550174430901,20.7053101525837,21.6900057551017,22.6106164647513,23.5855459060122,24.4920530893975
"lat_36_06299",10.7981231929647,8.586980782461,7.52696416049556,6.67451575771436,5.65857798935098,4.84330752626287,4.32118330614455,3.81204668149622,3.25502060799347,2.73513349963123,1.93166697045509,0.499882617263385,0,0.891205668443232,1.54791146622703,2.07136486869364,2.74062352748491,3.15083807324543,3.86889252003221,4.28226138674377,4.76782487214395,5.27093558871823,5.84711144067887,6.35523942493376,7.03595476953031,7.76311166517709,8.37586186499816,8.98073594163385,9.56855574882424,10.0816479493128,10.7351645714683,11.407401213446,12.0371280692474,12.6590344813053,13.3407139084325,14.1343245211137,15.0711342723368,15.5043324636874,16.2470492430657,16.8549982545711,18.5328721369102,19.7596438802704,20.2100374964369,21.193609992051,22.1134599415907,23.0877025452886,23.9937943088347
"lat_36_06749",11.6829467668821,9.44953096960532,8.37265701312432,7.50741497274419,6.45284335703746,5.59598606272038,5.07980123905007,4.5809234072568,4.02335876823581,3.4975339149681,2.68229146664073,1.38736499800119,0.891205668443232,0,0.669475816047302,1.21760388608571,1.88438761078894,2.30632563267985,3.04514632580221,3.46628468744083,3.96765267799726,4.4785676890888,5.05633022903631,5.57012829888748,6.23908269116022,6.95377773990291,7.56473443812462,8.16875688286243,8.75671423915922,9.27443694697525,9.924251784764,10.5923964521965,11.2205140361559,11.8413474435835,12.5197252594065,13.3059871577713,14.2364199472764,14.668563923836,15.4115821691318,16.017510318496,17.6887672609919,18.9070058431001,19.3577525256321,20.336602738687,21.2530123493394,22.2239069890925,23.1277984826399
"lat_36_07199",12.3459071482957,10.1189213258419,9.04150342540976,8.17475762754832,7.11254119834707,6.24499278918339,5.73145564566222,5.23630088581306,4.67977922304779,4.15398179900692,3.33956777893095,2.04746593923264,1.54791146622703,0.669475816047302,0,0.559332106492321,1.21838726240276,1.64400909996591,2.39034005900233,2.81398662741529,3.32203565959359,3.83555053492173,4.41267704337589,4.92832033163455,5.59046583128479,6.29896667508966,6.90878126986254,7.51213817402269,8.09987790574593,8.61917865019638,9.26732843984708,9.93377729034925,10.5611776663849,11.1815150141789,11.858680077376,12.6425836508592,13.5711979857421,14.0030479147405,14.7460946005805,15.3515038045378,17.0212941374688,18.2381832122491,18.6889669108221,19.6673469379865,20.5835727296104,21.5544402114872,22.4584080129127
"lat_36_07649",12.8614153611804,10.6565780435924,9.58699600713246,8.72417559576029,7.66882498668338,6.80397394147888,6.29004706535631,5.79404535805672,5.23717062801526,4.71130585965253,3.89649233687473,2.57030418281566,2.07136486869364,1.21760388608571,0.559332106492321,0,0.669747951702945,1.08872174836098,1.83143644609697,2.25478027311545,2.7628644136281,3.27659798201266,3.8535856988436,4.36939358016791,5.03114758624603,5.74042961357529,6.35056557649868,6.95414474841908,7.54197212323464,8.06082167264965,8.70947863548759,9.37658981611664,10.0043271679477,10.6249194568726,11.3027746574352,12.0884252037177,13.0189345820014,13.4511551662534,14.1941613053558,14.8002781546354,16.4726420863485,17.6935706235308,18.1441836551484,19.1252428349345,20.0436763927409,21.0169330341734,21.9226211881739
"lat_36_08099",13.5262052479945,11.3263110414296,10.2560013128813,9.39180103730905,8.33025268433594,7.45748820438402,6.94572079669989,6.45258529556013,5.89663142545376,5.3709835509172,4.55708148073396,3.23918074331877,2.74062352748491,1.88438761078894,1.21838726240276,0.669747951702945,0,0.430723287274172,1.18694656720709,1.612420316144,2.13005594816119,2.64540411860422,3.21901187432862,3.73609689026448,4.38683056529525,5.08718960779227,5.69559959992141,6.29816454524324,6.88558541750024,7.40620669010445,8.05277218802025,8.71784053685995,9.34471036963821,9.96470663878415,10.6411926743277,11.4242845751602,12.3528966581063,12.7848205496776,13.5278609427583,14.1334611580229,15.8044176940931,17.0241698930853,17.4748151804323,18.4555505915188,19.3739314102401,20.3473079009313,21.2531787055264
"lat_36_08549",13.9208685569984,11.7377168286201,10.6734336690437,9.81232312076854,8.75647445585946,7.88659402715868,7.37423415766598,6.88009514581685,6.32373163736974,5.7979574828142,4.98357353341655,3.64741240740865,3.15083807324543,2.30632563267985,1.64400909996591,1.08872174836098,0.430723287274172,0,0.756885900935869,1.1821939991476,1.70115071886417,2.21637994351108,2.78911265588052,3.30624209717881,3.95610964310284,4.65740428816651,5.26626708354663,5.86915575548042,6.45672960217835,6.97685201984637,7.62405991504976,8.28992742441328,8.91720485960192,9.53750768883773,10.2147721567547,10.9997496306044,11.9303379394083,12.3626387061252,13.1056303367162,13.711942313826,15.3854359476799,16.6090852308444,17.0595491557509,18.0428065536578,18.9632326976489,19.9387984977486,20.8462206052652
"lat_36_08999",14.5979513282173,12.4477681154171,11.3958131841166,10.5412680980317,9.49795589621067,8.63532646978865,8.12146975431076,7.62497786177277,7.06782127247512,6.5419413334888,5.7268723039741,4.36059501683101,3.86889252003221,3.04514632580221,2.39034005900233,1.83143644609697,1.18694656720709,0.756885900935869,0,0.425496165027129,0.945024715685264,1.45993198088434,2.03223147539359,2.54935808819873,3.2017138443728,3.90915995096955,4.51970691647633,5.123628047587,5.7115741403624,6.22970184662129,6.8791132632548,7.54750291825815,8.17593263423358,8.79705134159049,9.47649638470484,10.2666143420428,11.2022576945775,11.6354406579907,12.3781587341352,12.9861726891321,14.6656599105948,15.8983849173241,16.3483442664109,17.3372781121902,18.2622099199919,19.2425368488445,20.1532631978046
"lat_36_09449",14.9884025224096,12.8541641919696,11.8079464551035,10.9563990754702,9.91845617525906,9.05866525710099,8.54429030586598,8.04696004774749,7.48956129356851,6.96370479400211,6.14850841704438,4.77161242009731,4.28226138674377,3.46628468744083,2.81398662741529,2.25478027311545,1.612420316144,1.1821939991476,0.425496165027129,0,0.523176487444575,1.0363108957397,1.60702872237805,2.12416786066212,2.77690795804623,3.48757026939215,4.09890031479606,4.70324399429223,5.29126466183491,5.80822787315102,6.45871975675485,7.12836424146036,7.75732494728279,8.37880080979438,9.05932667597277,9.85210542474615,10.7903608301804,11.2239653408147,11.9664471043905,12.5753102152665,14.2578493722749,15.4953537849014,15.9449930365445,16.9369033056202,17.8641886668594,18.8470069035814,19.7594432712568
"lat_36_09899",15.4288479733672,13.3222130130365,12.2868570188491,11.4413943590183,10.4153507346717,9.56327363053798,9.04745160536003,8.54794040386899,7.99005681574705,7.46441165291534,6.64918288129642,5.25243899949162,4.76782487214395,3.96765267799726,3.32203565959359,2.7628644136281,2.13005594816119,1.70115071886417,0.945024715685264,0.523176487444575,0,0.515351685985276,1.09084820883051,1.60727990239447,2.27176426247355,2.99547902239237,3.60841980494391,4.21331936016472,4.80098337731686,5.31396740677164,5.96737073712854,6.64020988728342,7.27030256456916,7.89245904258821,8.57548604504232,9.37438151638346,10.3182158442155,10.7526041811985,11.494355861386,12.1048947377852,13.7934236585988,15.0401782562446,15.4891009880708,16.4865298376479,17.4180584153367,18.4052927741223,19.3206807971673
"lat_36_10349",15.8987100979637,13.8117843226974,12.7836176617365,11.942007687001,10.922797674535,10.0745500398396,9.55811639941294,9.05763748043365,8.49959334826886,7.97412362140618,7.15901802993158,5.75267699753935,5.27093558871823,4.4785676890888,3.83555053492173,3.27659798201266,2.64540411860422,2.21637994351108,1.45993198088434,1.0363108957397,0.515351685985276,0,0.577770844892994,1.09279776181784,1.76501927610547,2.49853557972407,3.11157156785539,3.71601990769563,4.30274511961457,4.81223847890644,5.46745450213578,6.1423649806691,6.77302459544982,7.3954461777138,8.08011751105771,8.88342300600039,9.83129486917126,10.266163814816,11.0071411427968,11.6188323073297,13.3116724311896,14.565521313316,15.013780647776,16.0154556926295,16.9502518402452,17.9409134918716,18.8585671195044
"lat_36_10799",16.453604176787,14.3803411507381,13.3563762353202,12.5167251831804,11.5000854857692,10.652308778198,10.135886105552,9.63534914762965,9.07729047940383,8.55184179408496,7.73675132859224,6.32769045271458,5.84711144067887,5.05633022903631,4.41267704337589,3.8535856988436,3.21901187432862,2.78911265588052,2.03223147539359,1.60702872237805,1.09084820883051,0.577770844892994,0,0.517139296045242,1.18990178053264,1.93093528782546,2.54292735969742,3.14631823275299,3.73188184725525,4.23866203190779,4.89490972045086,5.57108020066419,6.20198732249513,6.82446714746221,7.51017254426401,8.31657484854383,9.26737908528337,9.70254297443655,10.4427921018941,11.055286540499,12.75129673444,14.01077354606,14.4584212830284,15.4635184524488,16.4009705509028,17.3944536971423,18.3139607543802
"lat_36_11249",16.9307547710584,14.8752175531905,13.8576090077457,13.0213516644428,12.0105584391141,11.1660091868597,10.6491009362324,10.1477996025271,9.5896482348407,9.06437839752398,8.24945203226847,6.83354460627077,6.35523942493376,5.57012829888748,4.92832033163455,4.36939358016791,3.73609689026448,3.30624209717881,2.54935808819873,2.12416786066212,1.60727990239447,1.09279776181784,0.517139296045242,0,0.698754807856205,1.45332488548488,2.05878503471819,2.65785029748337,3.23983956153554,3.74021901030955,4.39817308346663,5.07640533438819,5.70743477015362,6.32974402937673,7.01705058304787,7.82839181627894,8.78348938604069,9.21896294023478,9.95789298826461,10.5714522663543,12.2717359452354,13.5387926378181,13.9855214077435,14.9950255950291,15.9357968898402,16.9327493851684,17.8544655595407
"lat_36_11698",17.6292246144473,15.5683700651291,14.546197906111,13.7064812482772,12.6867934770437,11.8341045563995,11.3187635463961,10.8196412286577,10.2617898070393,9.73612041207921,8.92087748508426,7.51731198686481,7.03595476953031,6.23908269116022,5.59046583128479,5.03114758624603,4.38683056529525,3.95610964310284,3.2017138443728,2.77690795804623,2.27176426247355,1.76501927610547,1.18990178053264,0.698754807856205,0,0.755535741582931,1.36020286063311,1.96047170717376,2.54411579956933,3.04887297153453,3.70551782009161,4.3824316981066,5.01344150109897,5.63589680358698,6.32234198315307,7.13162976201663,8.08561843610335,8.52104305991297,9.26028122176128,9.87361997604525,11.5732647735614,12.840072466015,13.2867758248167,14.2965074653656,15.2376303766269,16.2350983407349,17.1572092643592
"lat_36_12148",18.3810728225062,16.309992429134,15.2812023950808,14.4368726949292,13.4059726786811,12.5436554460965,12.0304086569445,11.5341161453575,10.9768823948683,10.4510077494703,9.63587426856968,8.24782179675215,7.76311166517709,6.95377773990291,6.29896667508966,5.74042961357529,5.08718960779227,4.65740428816651,3.90915995096955,3.48757026939215,2.99547902239237,2.49853557972407,1.93093528782546,1.45332488548488,0.755535741582931,0,0.61314821789854,1.21795241390257,1.80550437629111,2.32066268174812,2.97216981834241,3.64486121090551,4.2751836510827,4.89749026260546,5.58164953820485,6.3858422149433,7.33662123817937,7.77184957334725,8.51192804841087,9.12458022116783,10.8219528356752,12.0861150567019,12.5330735334199,13.5418260699818,14.4824759857797,15.4796581901878,16.4016883293687
"lat_36_12598",18.9894272167676,16.9227523928861,15.8943461728889,15.0497912161116,14.0173038655938,13.1528603568182,12.6401674126311,12.1445613346855,11.5874995157927,11.0616189904812,10.2465753058229,8.8608299580658,8.37586186499816,7.56473443812462,6.90878126986254,6.35056557649868,5.69559959992141,5.26626708354663,4.51970691647633,4.09890031479606,3.60841980494391,3.11157156785539,2.54292735969742,2.05878503471819,1.36020286063311,0.61314821789854,0,0.604900057548873,1.19272934444395,1.71060721764363,2.35990600332219,3.03180686427455,3.6620602649194,4.28435122815847,4.96855514366596,5.77368118201866,6.72592988414416,7.16128729677944,7.90089331115468,8.51394327015242,10.2130649713068,11.480943316153,11.9273791141247,12.9384960420497,13.8810136520197,14.8802241255376,15.8035508635878
"lat_36_13048",19.5879011410175,17.5266004053818,16.4991132864263,15.6546904164657,14.6214730733067,13.7556373540528,13.2433334893778,12.7481899735214,12.1912456892597,11.6653684124452,10.8503930342986,9.46572435574353,8.98073594163385,8.16875688286243,7.51213817402269,6.95414474841908,6.29816454524324,5.86915575548042,5.123628047587,4.70324399429223,4.21331936016472,3.71601990769563,3.14631823275299,2.65785029748337,1.96047170717376,1.21795241390257,0.604900057548873,0,0.58802454336039,1.10965768314691,1.75550965435972,2.42691998643459,3.0572457754608,3.67958154486655,4.36418246028284,5.17120752392215,6.12569967537155,6.5612014995548,7.30004558649463,7.91363381488774,9.61505252641402,10.8876257406567,11.33336169556,12.3473267907742,13.2920299226294,14.2935774278744,15.2183548768982
"lat_36_13498",20.1667184821203,18.11210501732,17.0862231625497,16.2423769376948,15.2094572901037,14.3430716779945,13.8309558988967,13.3360081029686,12.7791082056815,12.2532333512762,11.4382832202519,10.0532976884659,9.56855574882424,8.75671423915922,8.09987790574593,7.54197212323464,6.88558541750024,6.45672960217835,5.7115741403624,5.29126466183491,4.80098337731686,4.30274511961457,3.73188184725525,3.23983956153554,2.54411579956933,1.80550437629111,1.19272934444395,0.58802454336039,0,0.528595802873001,1.16753990263334,1.83963173641193,2.47030592810676,3.09275784450209,3.7783717257188,4.58885362836773,5.5466641179214,5.98227624969249,6.71985225662565,7.3341361057051,9.03851803776104,10.3170401872174,10.7618181267564,11.7792188517547,12.7264768156378,13.7307150670725,14.6571052957428
"lat_36_13948",20.6549367264052,18.6154314930807,17.5950379615173,16.7541415061968,15.7265800805421,14.8634376383667,14.3506167886166,13.8546788613946,13.2974957785536,12.7716183406362,11.9565038560391,10.5647683043855,10.0816479493128,9.27443694697525,8.61917865019638,8.06082167264965,7.40620669010445,6.97685201984637,6.22970184662129,5.80822787315102,5.31396740677164,4.81223847890644,4.23866203190779,3.74021901030955,3.04887297153453,2.32066268174812,1.71060721764363,1.10965768314691,0.528595802873001,0,0.65924990685982,1.3398662736201,1.96985141107522,2.59128451371568,3.28027050023593,4.10078340352962,5.06576926637364,5.50114800608006,6.23508988493782,6.85057223881163,8.5604360557565,9.84986197743824,10.2926834302576,11.3158564603709,12.2671640580033,13.2755455782481,14.2042727818617
"lat_36_14398",21.3141065264306,19.2732724606107,18.2509662231459,17.4085539345258,16.3769822110719,15.5102139458899,14.9982921383532,14.5035029009097,13.9466276152961,13.4207541045746,12.6058143007723,11.2192698147012,10.7351645714683,9.924251784764,9.26732843984708,8.70947863548759,8.05277218802025,7.62405991504976,6.8791132632548,6.45871975675485,5.96737073712854,5.46745450213578,4.89490972045086,4.39817308346663,3.70551782009161,2.97216981834241,2.35990600332219,1.75550965435972,1.16753990263334,0.65924990685982,0,0.680835487667476,1.31060978782324,1.93221252260677,2.62103205961082,3.44234838735484,4.40874344871626,4.8439412978292,5.57691744983571,6.19256819834031,7.90353376748952,9.19626817159111,9.63832692532637,10.6635090829862,11.6163390884161,12.6263852901642,13.5560540579983
"lat_36_14848",21.9947989361178,19.9507937032527,18.9258489565168,18.0815247589759,17.045186392881,16.1743307533791,15.6634664093936,15.1700201606105,14.6135416081178,14.087719763453,13.2730571475624,11.8926344965165,11.407401213446,10.5923964521965,9.93377729034925,9.37658981611664,8.71784053685995,8.28992742441328,7.54750291825815,7.12836424146036,6.64020988728342,6.1423649806691,5.57108020066419,5.07640533438819,4.3824316981066,3.64486121090551,3.03180686427455,2.42691998643459,1.83963173641193,1.3398662736201,0.680835487667476,0,0.631041554520535,1.25346603852812,1.94103753518498,2.76165198481076,3.72899263231467,4.16400908826416,4.89631075774095,5.51204342809847,7.22369331366346,8.51906996284443,8.96044506288828,9.98731554084553,10.9414491096309,11.9529442353209,12.8834157072528
"lat_36_15298",22.6244311616491,20.5818102893686,19.5563529952652,18.7114215869361,17.6731216734724,16.8002933643258,16.2899809127757,15.7972082928128,15.2409364827737,14.7151564299949,13.9006522687594,12.522736368052,12.0371280692474,11.2205140361559,10.5611776663849,10.0043271679477,9.34471036963821,8.91720485960192,8.17593263423358,7.75732494728279,7.27030256456916,6.77302459544982,6.20198732249513,5.70743477015362,5.01344150109897,4.2751836510827,3.6620602649194,3.0572457754608,2.47030592810676,1.96985141107522,1.31060978782324,0.631041554520535,0,0.622479981210984,1.31042253990719,2.13559737807636,3.10639739981739,3.54060891828591,4.27010533657336,4.8861242125646,6.59985798391167,7.90099216524647,8.34093318051049,9.37088281240682,10.3271649866331,11.3409222246805,12.2725522079246
"lat_36_15748",23.2447378390208,21.2042596849186,20.1786898163131,19.3334100335982,18.2937424290697,17.4194206212291,16.9095428751098,16.4172899391292,15.8611807034403,15.3354390566206,14.5210640164849,13.1448661817411,12.6590344813053,11.8413474435835,11.1815150141789,10.6249194568726,9.96470663878415,9.53750768883773,8.79705134159049,8.37880080979438,7.89245904258821,7.3954461777138,6.82446714746221,6.32974402937673,5.63589680358698,4.89749026260546,4.28435122815847,3.67958154486655,3.09275784450209,2.59128451371568,1.93221252260677,1.25346603852812,0.622479981210984,0,0.690333883916998,1.52457328698107,2.49914572625419,2.93138773279315,3.65596499797502,4.27210940019926,5.98812258046375,7.29624909273317,7.73426228722207,8.76773126660092,9.72636304918049,10.7425675585251,11.6753574653675
