"","year","sst","anom"
"120",2005.55068493151,14.44,0.444102564102563
"121",2005.71506849315,14.09,-0.489487179487179
"122",2005.87945205479,13.03,-0.0252499999999998
"123",2006.04383561644,12.49,0.114146341463414
"124",2006.20821917808,11.83,-0.238205128205129
"125",2006.37260273973,12.42,0.238536585365853
"126",2006.53698630137,12.91,-1.08589743589744
"127",2006.70136986301,14.33,-0.249487179487179
"128",2006.86575342466,13.44,0.384749999999999
"129",2007.0301369863,10.75,-1.62585365853659
"130",2007.19452054795,11.84,-0.228205128205129
"131",2007.35890410959,10.95,-1.23146341463415
"132",2007.52328767123,12.89,-1.10589743589744
"133",2007.68767123288,14.99,0.410512820512821
"134",2007.85205479452,13.64,0.58475
"135",2008.01643835616,11.19,-1.18585365853659
"136",2008.18082191781,11.5,-0.568205128205129
