"","year","lat_36_00000","lat_36_00450","lat_36_00900","lat_36_01350","lat_36_01800","lat_36_02250","lat_36_02700","lat_36_03150","lat_36_03600","lat_36_04050","lat_36_04500","lat_36_05849","lat_36_06299","lat_36_06749","lat_36_07199","lat_36_07649","lat_36_08099","lat_36_08549","lat_36_08999","lat_36_09449","lat_36_09899","lat_36_10349","lat_36_10799","lat_36_11249","lat_36_11698","lat_36_12148","lat_36_12598","lat_36_13048","lat_36_13498","lat_36_13948","lat_36_14398","lat_36_14848","lat_36_15298","lat_36_15748","lat_36_16198","lat_36_16648","lat_36_17098","lat_36_17547","lat_36_17997","lat_36_18447","lat_36_19347","lat_36_19797","lat_36_20247","lat_36_20697","lat_36_21147","lat_36_21597","lat_36_22047"
"11",1994,1,0.712974222702638,0.196564238944383,0.395324433325704,0.366198841532727,0.287999787159511,0.305601139112038,0.37065961383475,0.229093050647821,0.280169570210375,0.0572356403490968,0,0.389882554975041,0.500162390386489,0.483263887821153,0.428616296891882,0.378330373001776,0.392324324324324,0.280957896721709,0.0473621982687943,0.281361737732137,0.524442618998723,0.469612707715875,0.51480965645311,0.375749452062238,0.433905572375419,0.383479375692551,0.140903249495135,0.306266146417945,0.307037094873724,0.236977344560523,0.272586542824352,0.321383609574828,0.0381237952452345,0.165005026809651,0.295335954253038,0.417681814866146,0.227550130775937,0.329644750035812,0.295624624460589,0.0912439784641541,0.388292941332274,0.450114480244626,0.327567415823109,0.306769768234492,0.261580471476861,0.410747835970601
"12",1995,0,0.070373372967617,0.21688518455369,0.324460728528275,0.277778532577929,0.477033180945455,0.367151563501962,0.324021627675555,0.334319445585778,0.445256187846654,0.0111629795007104,0,0.064762126526276,0.600969093336745,0.574486077584219,0.52961129676625,0.600981529584493,0.50722972972973,0.374996632815236,0.23635359402104,0.488760042096731,0.472039429627579,0.586849378933697,0.833983286908078,0.439382686978101,0.794177235905409,0.673010086188313,0.264167624863517,0.581420706611791,0.384335827146122,0.521750669529761,0.633210558624923,0.610087083358657,0.00706789462411651,0.246355563002681,0.54476411722659,0.415931140126924,0.208206190061029,0.0291505514969202,0.0772382148904791,0.021323321054123,0.183286981856708,0.19674409146369,0.150601912247965,0.293573193592365,0.234758480968058,0.26825058209316
"13",1996,0.279762630573507,0.138825083697398,0.52061877356882,0.249143258743919,0.282216757469125,0.367544485879364,0.428207160854132,0.387383603679278,0.243268414276714,0.395460209641557,0,0,0.345102091307322,0.46294382604873,0.262288780577807,0.268838413025453,0.56577582932063,0.186540540540541,0.161409368854888,0.282550723637085,0.568613095743916,0.504915310231524,0.476822405008492,0.433927576601671,0.802416360244172,0.598690778168726,0.409093831427912,0.430763433275681,0.355144582821102,0.316506012123621,0.394672714551113,0.377065150665919,0.253357875270236,0,0.0297838471849866,0.19415654038599,0.0723612225545262,0.100261551874455,0.190767798309698,0.43846616048506,0.248583168036271,0.128459806648126,0.466943829364183,0.396527238799808,0.219644683026585,0.153984210700168,0.41064180807254
"14",1997,0.494126732512295,0.594784488582624,0.529493825328884,0.28531498741082,0.261755634960532,0.35862735621073,0.452019449732137,0.597447510509249,0.419262059331087,0.356671634862071,0.185508422975441,0,0.665740107403257,0.785936664468655,0.599317332677317,0.667642403075454,0.604123245618538,0.468959459459459,0.415160412682165,0.407057726994209,0.769422346565913,0.765770511710135,0.66682207199707,0.537251624883937,0.865143912909595,0.552897471565338,0.458552838087746,0.393292299962316,0.453104566429704,0.717465680498573,0.524259898183222,0.274281367603491,0.413632930185714,0,0.338409014745308,0.579467476769121,0.120504777883142,0.556560592850915,0.395537888554648,0.793357732015076,0.44545196939643,0.196927559263674,0.686610330335758,0.692735769605496,0.384383520790729,0.30958698979311,0.745045316323631
"15",1998,0,0.0247564142983681,0.0112753901103403,0.0028257148107432,0.00135864027281497,0.00278022889220959,0.000237315007902085,0.0351014601329595,0.000712192182321199,0.00585188262027512,0,0,0.0185263341725729,0.238595766039741,0.150609634219468,0.215118470313324,0.0154621710695182,0.0348108108108108,0.00115831155887186,0.000759452158829063,0.0708519358613161,0.162254346098556,0.073612174897599,0.182924791086351,0.0275508540583622,0.132738728418296,0.0617008482684809,0.0220014880233446,0.0611612949204483,0.100594824037137,0.0218592419234203,0.0407425200843409,0.0528664577129114,0,0.0605940013404826,0.140278770550393,0.0400466846597126,0.0429380993897123,0,0.0341399464685639,0.317724567866251,0.0329757647993643,0.194676668624881,0.0412256221411232,0.0334441036128153,0.0395393135948734,0.169237489768308
"16",1999,0.0988090883225623,0.285381855304839,0.362464376897408,0.0584276581545971,0.329791811022196,0.226103112348739,0.104297421345223,0.250965791494981,0.194510641794724,0.359994624575464,0,0,0.158892785935704,0.675986890666982,0.612886114485155,0.596409457524058,0.523465333319644,0.563418918918919,0.403658109527786,0.138461936775608,0.453526908570345,0.62498102627749,0.553809095651981,0.390538532961931,0.757295270527288,0.811138204729564,0.60920653049493,0.104166465364807,0.349290003028845,0.356979599948893,0.349989142760634,0.473803613846852,0.319742656954079,0.118654958235168,0.317422084450402,0.703162973552538,0.619592968123131,0.341870095902354,0.55586592178771,0.716392636696346,0.00736752621139133,0.830750893921335,0.678201304472261,0.827889426490744,0.554011162235855,0.364673368494071,0.757034951036317
"17",2000,0.129374466528472,0.238984221351469,0.086784188767568,0.0916543891265591,0.395744738665544,0.280900670004124,0.240243576084706,0.413502540759996,0.22651820198866,0.10049600508222,0.0817941952506596,0,0.029339426309432,0.158112466004639,0.146934915973493,0.154777758235132,0.197609831723118,0.126027027027027,0.319478490423727,0.104847548609253,0.266059183820213,0.26923935462557,0.256601951446935,0.238449396471681,0.0928867716050501,0.0828802880288029,0.113686129316507,0.148029335317364,0.264222210344398,0.307250039039764,0.247617439139142,0.152894547201537,0.444298774929022,0.0417648318697794,0.213241454423592,0.252215868477484,0.183820847618353,0.341379686137751,0.532910757771093,0.749494728792265,0.101870218192122,0.129916567342074,0.340401735279498,0.278489687401952,0.144225034083163,0.178328800607789,0.16563254123425
"18",2001,0.00788521724992887,0.355567565944542,0.38390577564808,0.431415565449229,0.788948820020923,0.687044665463527,0.546874763316149,0.746177508882255,0.198277042758923,0.290407310577369,0.106149786888573,0,0.254260474728217,0.580852369095305,0.19179261673765,0.469509284152868,0.4568219386236,0.378756756756757,0.0746706893300649,0.185694682971874,0.506154359038051,0.381510219023724,0.447189938614894,0.472451253481894,0.511746698788197,0.417563210866541,0.339027535634462,0.505179094238258,0.586847684715021,0.695617609062904,0.533862523222429,0.436410708089786,0.575140870139004,0.060184193617477,0.421162868632708,0.732862759113653,0.945145524837698,0.495858761987794,0.629422718808194,0.826459824110996,0.46642108245962,0.533836577936697,0.770647867805444,0.78720048879568,0.592642297205181,0.161086092423558,0.832081497283565
"19",2002,0.0143071983091493,0.312232581182723,0.031069324163037,0.17233958869972,0.518289562472544,0.172768833057675,0.122045554383006,0.21807780060615,0.0163530281863752,0.262406235492462,0,0,0.0282915896555237,0.708546983311517,0.267870047202448,0.648634387798688,0.328494132383289,0.457337837837838,0.0217924197936589,0.00582534326374565,0.377615520881678,0.489048813807513,0.500249758566719,0.289535747446611,0.390656981904469,0.589781523606906,0.411162502221836,0.159252316581798,0.29907531134748,0.298959412841953,0.220088305546843,0.315637761229882,0.196949043645867,0.165345898479332,0.575611595174263,0.785614724803431,0.836822525348311,0.322853095030514,0.344793009597479,0.207843994100617,0.309436100878436,0.066746126340882,0.165793001641888,0.236975081328335,0.328082396046353,0.139516191189262,0.259564776684041
"20",2003,0.00536519936593098,0.214963443378522,0.144751031326187,0.173169733096487,0.304095394662355,0.37166383618377,0.283273331347293,0.435614530952624,0.147163557673871,0.193270945830381,0,0,0.0217280572817371,0.357970743485521,0.23805716570058,0.353363149827885,0.34754976950482,0.214864864864865,0.101581229965251,0.0792332985251094,0.269680548564854,0.28890952436226,0.190016317559692,0.160464252553389,0.483851685474668,0.451616070697979,0.291712836726281,0.198482022938749,0.284422826803499,0.305078008546159,0.269283663473834,0.303507086235888,0.40673051043177,0.421075176697366,0.330701239946381,0.558041458184417,0.344445254942009,0.284928073234525,0.401124480733419,0.49177910089037,0.126593935959195,0.254668255860151,0.323696657478121,0.224317585085126,0.116021216768916,0.159181246627983,0.349442505311998
"21",2004,0.00487745396902817,0.445855665150355,0.557062287008722,0.638998410636165,0.74616070902907,0.848187086790144,1,1,0.435793135563043,0.234954919735138,0,0,0.286801624146814,0.666689630963746,0.26721659312105,0.461607075554662,0.56162794279202,0.432864864864865,0.348059154701937,0.311703330370319,0.706218419280826,0.450779931605311,0.410653035399114,0.404131847725162,0.992609632836416,0.412922019474675,0.333139198475159,0.811185297556356,0.712327400359898,0.666941128036229,0.456558978936956,0.375583847118798,0.592314437778376,0.209895052473763,0.385577245308311,0.544603288062902,0.509227514771318,0.371403661726242,0.52245380318006,0.653902878680286,0.290379710966279,0.360614488147265,0.563077108470032,0.573253298545172,0.417465490797546,0.320135211019478,0.661469885956393
"22",2005,0.0621875381051091,0.364778032998544,0.00359165018832913,0.0576942296098805,0.390677010447944,0.406711570097685,0.520648930315225,0.565312477534233,0.349248089407511,0.35387397072837,0,0,0.232415991151602,0.691300796204986,0.412183459155276,0.626749415814468,0.699863448290024,0.410837837837838,0.399213425639092,0.526705962562461,0.960544119858022,0.558907827888247,0.584867960971061,0.494280408542247,0.918271233720362,0.602886834137959,0.419183801589132,0.677335665214072,0.701149179539259,0.879814312687213,0.55053441744879,0.45841674006459,0.548373373156099,0.0312700792460912,0.358558143431635,0.47952108649035,0.103435699175724,0.479675239755885,0.169567397221029,0.443218441033484,0.223505242278266,0.0635677393722686,0.357377950502357,0.410885611902835,0.417167263122018,0.185860098435384,0.495663458969324
