"","year","lat_36_00000","lat_36_00900","lat_36_01800","lat_36_02700","lat_36_03600","lat_36_04500","lat_36_05399","lat_36_06299","lat_36_07199","lat_36_08099","lat_36_08999","lat_36_09899","lat_36_10799","lat_36_11698","lat_36_12598","lat_36_13498","lat_36_14398","lat_36_15298","lat_36_16198","lat_36_17098","lat_36_17997","lat_36_18897","lat_36_19797","lat_36_20697","lat_36_21597","lat_36_22496","lat_36_23396","lat_36_24296","lat_36_25196","lat_36_26096","lat_36_26995","lat_36_27895","lat_36_28795","lat_36_29695","lat_36_30595","lat_36_31494","lat_36_32394","lat_36_33294","lat_36_34194","lat_36_35093","lat_36_35993","lat_36_36893","lat_36_37793","lat_36_38692","lat_36_39592","lat_36_40492","lat_36_41391","lat_36_42291","lat_36_43191","lat_36_44091"
"11",1994,0.816746918007035,0.311590640470831,0.326686532386351,0.342791019595968,0.267301108025773,0.0572356403490968,0,0.49977973445455,0.462518361662756,0.40430689545131,0.111121970289289,0.429782741802673,0.486521881100759,0.436378903025645,0.363320403154444,0.308202047288761,0.25990496730566,0.313579684852164,0.235333256190697,0.320484189403502,0.317906000565476,0.0912439784641541,0.4484051571042,0.318485409438052,0.369268358399059,0.486769863305225,0,0,0.390298088705152,0.512646296571419,0.499177719621721,0.458801791288342,0.335864743359557,0.505400498065868,0,0.135041802980734,0.190529305012089,0.165697257397723,0.210848334843237,0.215149735760423,0.739292174826399,0.548551553268534,0.376430819442826,0.133185044486654,0.144752065442339,0.0956885346029161,0.0798915789957275,0.0792891910528043,0.0309775933609958,0.203342558159647
"12",1995,0.0640303247618072,0.279141250232048,0.378457643447673,0.342496863779902,0.410158250882916,0.0111629795007104,0,0.523166916672708,0.557450542742135,0.58957458821219,0.288367027811907,0.538977683001499,0.679307613747681,0.75967893433524,0.647353951125037,0.545026887496526,0.593516123765907,0.592702194568801,0.407380621769652,0.308217626306761,0.0484569042388917,0.021323321054123,0.196372011614836,0.213035227579278,0.258937319355313,0.314743531378587,0,0,0.763853738419431,0.836199012859242,0.705819157794564,0.474224929395282,0.38475446159057,0.288115674721363,0.00980922221364022,0.0336241366775718,0.437612671003684,0.822503553776132,0.616290057607532,0.379565472695244,0.5,0.469458738326663,0.326215176594009,0.531440567829651,0.479109293268369,0.174948710319014,0.120227867873386,0.425159725915164,0.294921161825726,0.4088634005016
"13",1996,0.173322405491241,0.36351059770872,0.325331033092107,0.404870874248389,0.33788046262098,0,0,0.459568725638352,0.264775176939659,0.422895647691288,0.27038422875014,0.606110254840276,0.460774505512829,0.646725300999061,0.549119838827268,0.349411397318986,0.383335767865889,0.246022712901839,0.118481447195865,0.091659384406253,0.290436938602405,0.248583168036271,0.457584978341188,0.31928540199626,0.339272154999265,0.33291501799597,0,0,0.846180273238437,0.923295201307384,0.51367617319931,0.178327514176289,0.206883574478495,0.257038589339668,0,0,0.113554284060557,0.144583262692523,0.285831321332125,0.438520258367587,0.0738460640718912,0.0128644939965695,0.197692038699149,0.372013395981206,0.430866752489123,0.0613596855276964,0.118221773020321,0.177585193515802,0.0976199170124481,0.0737914036149788
"14",1997,0.62420517023529,0.38818276884672,0.310702843187776,0.535151620019899,0.403088183754347,0.185508422975441,0,0.795507140507113,0.625255155573361,0.574072710312492,0.436857757176365,0.859198108227942,0.618346915664492,0.616759172288162,0.563929253184775,0.50908903385504,0.36330672532458,0.401657519117114,0.46848723289362,0.384050231414053,0.556101698601535,0.44545196939643,0.673070937645323,0.558083180621576,0.623955934943418,0.560744762191022,0,0,0.534807553565498,0.57810132224038,0.515639683578184,0.470367761237456,0.635188428795665,0.446965673644852,0.0544527689812312,0.270265358051618,0.198994326506249,0.468866964879563,0.450994586019012,0.336112742219612,0.660383964521211,0.188965122927387,0.661452383727707,0.565967709687094,0.520613684879495,0.280159115468341,0.204499165403286,0.385067312609887,0.409473858921162,0.317256551068062
"15",1998,0.0225250145135403,0.00638539819417767,0.00207693858804024,0.0201669766838258,0.00357884236918017,0,0,0.206330264485945,0.175098723745207,0.0250509364950782,0.000914497933653524,0.122504908895129,0.114508430771796,0.119762047078246,0.0580717151873021,0.0694748844711457,0.0340175801892061,0.0513358794715499,0.103592918305948,0.0432728096578956,0.0135931620957394,0.317724567866251,0.190205749563345,0.0378275550925108,0.133171875765444,0.0866581906618414,0,0,0,0.0143300483665957,0.0230379765657527,0.0683312144011487,0.00927364788049947,0.0576148816914145,0,0,0.00495601685769238,0,0.000385784073619738,0,0.16805741961837,0.135648942252716,0.0313323231145821,0,0.00308797888115763,0.00352371854102391,0.00408875821197225,0.00560281107433012,0,0.00672943872697397
"16",1999,0.276262678004303,0.186512397187626,0.277400129948693,0.188138599299217,0.294321030922276,0,0,0.604957926492648,0.606631183349549,0.568758131428431,0.216610354071261,0.588548022718156,0.492725984284791,0.824384481826203,0.508250641407367,0.35287224929594,0.429709316812882,0.315156267125309,0.52557278407776,0.477975207948992,0.622827812697101,0.00736752621139133,0.682419195969227,0.708291085664319,0.647929628178122,0.614836884442948,0,0.577485380116959,0.123552786780115,0.404125191898183,0.5701101825968,0.383631881390399,0.309901979078625,0.41227689304502,0.140882057619526,0.734096692111959,0.119553355561049,0.264638949386403,0.192241838932982,0.148678802113917,0.470414891754683,0.666666666666667,0.309430003496911,0.232442767169849,0.288518258999136,0.166335176107622,0.14309122371786,0.25887938689675,0.228491286307054,0.405036538960477
"17",2000,0.239183143803572,0.0896026687139743,0.337716487800506,0.33928494181771,0.166911546653007,0.0817941952506596,0,0.139999665419425,0.149912245559816,0.175350418538429,0.167604434267843,0.299204020015624,0.249810681061853,0.086670651524208,0.168911360562769,0.274441550851318,0.186628401543207,0.433079562603806,0.234272544935586,0.284331812150047,0.622066595619739,0.101870218192122,0.334581964782002,0.219858419921675,0.169163033361093,0.141139741090596,0,0.00779727095516569,0.106008726223332,0.299772198286535,0.290430024385892,0.352523901238785,0.506094357877504,0.450715521139092,0.299451610411678,0.297528171573973,0.196474113554284,0.459663010733056,0.471113875656158,0.343394010569583,0.821147225301978,0.454545454545455,0.510805455181257,0.538725882235329,0.522691348770512,0.410834259940802,0.222538705379703,0.388118071228471,0.474154356846473,0.460277393410015
"18",2001,0.324843766007581,0.411400617737134,0.737458830909865,0.660803737509192,0.257784487639177,0.106149786888573,0,0.542374629870239,0.297220473492436,0.445062228440975,0.169559086339774,0.507400291366679,0.456640752551463,0.443537414965986,0.540426751556909,0.612209817016047,0.471116419346801,0.56085860501977,0.58936010182828,0.713888079748843,0.711324735205202,0.46642108245962,0.764100198096661,0.702239979162985,0.645495517562338,0.598914208424154,0,0,0.279994961235871,0.748848610904769,0.674994052221495,0.613155327216893,0.995739516183409,0.597871019599681,0.143508148605855,0.12831697564522,0.571581885818677,0.901348478722988,0.877032410196837,0.554081033470346,0.955184688101768,0.428530588907947,0.879752884951626,0.999850044986504,0.966097413919533,0.55211188197892,0.349826189491738,0.90112895879822,0.857948547717842,0.710709807143475
"19",2002,0.286493870163576,0.112825181883567,0.343705330136894,0.176941212094995,0.152811851292697,0,0,0.607609477552432,0.412417253286022,0.404043007585242,0.0103596559812353,0.475223275552647,0.421417008830252,0.574274898243816,0.394258221423284,0.300790437963942,0.281609541076293,0.197755688764111,0.688931960194399,0.563064375182057,0.292155114291307,0.309436100878436,0.163054423487453,0.276760216184036,0.22618245725763,0.31554871527096,0,0,0.018254068229447,0.231246801696958,0.463236781062273,0.442382043472898,0.424020849242851,0.283547678682924,0.0303545222831544,0.212286441294075,0.281263000500425,0.47785247590605,0.341648641736635,0.223840281855549,0.439998249401879,0.702496664760816,0.149621167968295,0.25761021693492,0.450062737301807,0.0544218752447027,0.0799528338004012,0.23546309701616,0.406376763485477,0.398907074288679
"20",2003,0.196489430727726,0.161197488378948,0.338236282571192,0.370357312800104,0.179043215701076,0,0,0.30839964534459,0.281830061618879,0.305318261040332,0.0904166201273316,0.310846019044402,0.178960239549247,0.468767255856317,0.328962673152162,0.290244580242775,0.291319029738531,0.411530127897075,0.453376918923089,0.322070103893582,0.439417995171709,0.126593935959195,0.3217880695279,0.177026260220835,0.296535908489688,0.199974111253597,0,0,0.00898961327485313,0.0899288532329685,0.139458306072682,0.176703921922093,0.119705952916714,0.31021106797092,0.344404109060014,0.100690657942566,0.0352226891516288,0.0900702930398153,0.171171093069324,0.188373458602466,0.269942230262006,0.263674480655613,0.230749504604266,0.196953413975807,0.308920103638763,0.0992748970291137,0.0613160594784153,0.0939272346997713,0.144819917012448,0.257437516215515
