"","year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"11",1994,-0.0922090958765453,-0.155981857325563,-0.56731873728416,-0.67909697105994,-1.05098637076781,-1.0727145926716,-0.499439468014138,-0.216413928962905,0.180075446432035,0.11659886479148,-0.549177916796541,-0.323419685586361,-0.245968263877914,-0.965491011976765,-0.364940928574228,-0.465092631039108
"12",1995,-1.70925824771631,-1.39980423299674,-1.9569889925456,-1.28980362522708,-1.33571146393223,-2.20006669881645,-1.76741355816224,-1.51353094464846,-2.45843547874665,-2.15611612915881,-1.00586201997479,-1.07202849134183,-1.60087573635651,-1.19082931905092,-1.48735467847756,-3.00468310407408
"13",1996,-0.149908067503945,-0.622132495945863,-1.64996696333822,-0.97760214250635,-0.885934495075235,-2.03383444515271,-0.959236279180051,-0.916831591965944,-1.73947813569138,-1.32973847034927,-0.794845898638474,-1.60477145351117,-1.74704349302434,-2.96201746800847,-1.7689095562495,-4.88171723974972
"14",1997,0.392515715232419,0.178544591763246,0.023529768387547,0.464183151654018,-0.16337483782185,-0.53319360250021,0.222267420433048,0.0616163927184408,-0.60597815833932,0.190470990692043,-0.863652465661943,-0.168813769966832,-0.637586584036238,-1.12844809930623,-0.153244417222456,-0.655583960519138
"15",1998,-5.29831736654804,-5.29831736654804,-3.59327700483508,-3.45124204158125,-4.13851518505565,-3.81902674875422,-3.16920421507096,-3.8490887186129,-5.29831736654804,-4.43150669193725,-5.29831736654804,-3.67149322361891,-5.29831736654804,-1.27927254154226,-5.29831736654804,-2.23916955029946
"16",1999,0.207781728629562,-0.20885710581625,-0.847456779148637,-0.236824062535416,-0.92869423055572,-1.76506871036699,-1.13852267737772,-1.81990158128138,-3.30568154633011,-1.5562251270171,-1.54414374467369,-1.13625832134101,-0.577169585912162,-1.43009698377828,-2.44125788511899,-3.82275514007978
"17",2000,-1.16565985663601,-0.975088188746323,-0.803819363162781,-0.35022363214161,-0.619519330459006,-1.30758537279408,-0.436075124763732,-1.11094673755702,-2.65327000238345,-2.88295496574296,-1.93370409832861,-1.19351293687263,-0.85813922257324,-0.765133073556632,-1.09257831546092,-2.57615402796936
"18",2001,-0.378336440719912,-0.26845105747512,-0.225275711020229,-0.372919125964634,0.0760335509102256,-0.62982729615258,0.686671199430289,-0.292046690756075,-1.57930218383647,-1.58024628785879,-1.09070428245441,-0.965901985348136,-1.10079347045886,-1.05954089387678,-0.657606587988032,-2.15016134223663
"19",2002,0.212015230193595,-0.187882168749306,-0.922246610836166,-0.642438090399904,-0.323764800139318,-1.50720327396306,-0.107214084307149,-0.31539519030351,-2.05453268429952,-0.820312326184624,-0.7449149030754,-0.750249084308975,-0.242193471534828,-0.853192392036842,-0.784571349362321,-1.82533041896907
"20",2003,-0.321422784544494,-0.66022106534413,-0.786468348768972,-0.464708257467197,-0.776053808424508,-1.3787525324525,-0.768077408481524,-0.896273719326859,-1.38269429177594,-1.45591062917917,-0.66022106534413,-0.864581954791473,-0.340489469217728,-0.561737602610313,-0.842399964774925,-1.35780207191451
