"","36_00","lat_36_00000","lat_36_00900","lat_36_01800","lat_36_02700","lat_36_03600","lat_36_04500","lat_36_05399","lat_36_06299","lat_36_07199","lat_36_08099","lat_36_08999","lat_36_09899","lat_36_10799","lat_36_11698","lat_36_12598","lat_36_13498","lat_36_14398","lat_36_15298","lat_36_16198","lat_36_17098","lat_36_17997","lat_36_18897","lat_36_19797","lat_36_20697","lat_36_21597","lat_36_22496","lat_36_23396","lat_36_24296","lat_36_25196","lat_36_26096","lat_36_26995","lat_36_27895","lat_36_28795","lat_36_29695","lat_36_30595","lat_36_31494","lat_36_32394","lat_36_33294","lat_36_34194","lat_36_35093","lat_36_35993","lat_36_36893","lat_36_37793","lat_36_38692","lat_36_39592","lat_36_40492","lat_36_41391","lat_36_42291","lat_36_43191","lat_36_44091","lat_36_44990"
"lat_36_14398",158.628008098358,20.0829019557282,18.3194960881192,16.4958091009516,15.1147514793223,14.0557609904728,12.965109351748,11.583085210288,10.6157737323121,9.34438333789208,8.26598569533858,6.95774097405274,6.08086105426797,5.05772269838484,3.67033670834411,2.40081460798032,1.3192772855309,0,1.22692519630156,2.67963583967916,4.18504166776315,5.49177626307655,7.53171112452606,9.05231058999215,10.7112457047353,12.7424274548945,14.7114342712809,17.8844273847848,19.0506382858357,20.3359972624715,21.6206275347856,23.141036472267,24.2155747145308,25.6507791285359,26.678892586034,27.8765030915063,28.445886867892,29.1112380373878,29.7635701558223,30.5398535608013,31.4326345623893,32.3894309630312,33.1695541864029,33.9318252847847,34.7596468023478,35.6910333662239,36.7655095888295,37.6509966505151,38.7642379441576,39.6711107906053,40.6211483586151,104.736537875968
"lat_36_15298",159.834995764832,21.3090763886423,19.5464101456114,17.7207162202162,16.3379749151347,15.2795144452279,14.1891298762979,12.8097886454359,11.8408740995768,10.5683953111497,9.48949416550805,8.18299462647631,7.30770439821382,6.28387286811483,4.89725474598495,3.62734540366257,2.54358605457946,1.22692519630156,0,1.46802534263627,2.98055683151455,4.28351509674363,6.32772286441768,7.85763190155063,9.52552131860087,11.5670484166547,13.5440924642907,16.7324836569234,17.8942340914023,19.177097514078,20.4557850075154,21.9739749532202,23.0416155552853,24.4746354142172,25.4972275965517,26.6898419039578,27.2509115428738,27.9095267410194,28.5554357223241,29.3274287665205,30.2184751253981,31.1716279487185,31.9493750982493,32.7095201450878,33.5351752782108,34.4658670054415,35.5399128353765,36.424728954707,37.5377938970111,38.4443465732653,39.3942436958081,103.523087269258
"lat_36_16198",161.302163046418,22.7548479451241,20.9820018361313,19.1397345221662,17.7500864455115,16.6941199567567,15.6052709658122,14.2424042962547,13.2629443886849,11.9864790215767,10.9065303998225,9.60834614558365,8.74493959315158,7.73215519893281,6.33870265093841,5.06661155763716,3.99861495711614,2.67963583967916,1.46802534263627,0,1.51278519632615,2.81578249146331,4.85970432619729,6.39057440093681,8.06080502995795,10.106063195151,12.0864524861806,15.282431923926,16.4413595855449,17.7226309584522,18.9981278573264,20.515111207165,21.5797067035005,23.0118041220679,24.0324596123663,25.2236426469194,25.783183588572,26.4415363043355,27.0883708893408,27.8619229908265,28.7539021415612,29.7098081209928,30.490193878299,31.253630920725,32.0843342108144,33.0173439920729,34.0931449930949,34.981654280889,36.0960314448781,37.006047990742,37.9591673361826,102.152263634471
"lat_36_17098",162.81223927522,24.2408030264796,22.457839442892,20.5996982089549,19.2039984248018,18.1509901872167,17.0642384688989,15.7176748541405,14.7290193213795,13.4500245929103,12.370292808582,11.0808193761506,10.2284284960451,9.22582336494419,7.82870383060208,6.55763205003521,5.50182373500696,4.18504166776315,2.98055683151455,1.51278519632615,0,1.30719619560643,3.3478793439478,4.87798821622543,6.55006849474671,8.59878883412639,10.5822901161409,13.7855690695684,14.9413528586887,16.2208476446507,17.4931188354926,19.0088769593076,20.0707108635354,21.5019995871192,22.521134547014,23.7113690647482,24.2704218537743,24.9296343845304,25.5787884596571,26.3550788118319,27.2485327558877,28.2085441057838,28.9926532527278,29.7605784423464,30.5979630369529,31.5339365220849,32.6119293283315,33.5050992712746,34.6210512861334,35.535355761854,36.4924161000827,100.757414104033
"lat_36_17997",164.117823165946,25.5446750360308,23.7582965272862,21.8938498852752,20.4956811911904,19.4441542241507,18.3584926631225,17.0184978967289,16.026587734749,14.7468915526644,13.6675246115381,12.381486356788,11.5325689198217,10.5322721979992,9.13467652440831,7.86397221346235,6.80892307092009,5.49177626307655,4.28351509674363,2.81578249146331,1.30719619560643,0,2.04541977019403,3.58537393909521,5.26559524534224,7.32287778615184,9.31215992981641,12.5277065505824,13.6771894602136,14.9528812798027,16.2184686309618,17.7313843605276,18.7868121827482,20.2159052060176,21.230534011438,22.4169947460936,22.9706473891741,23.6262389729252,24.2728343254474,25.0481125796132,25.9413770708344,26.9015532411528,27.6863581883802,28.4555476089237,29.2953820465005,30.2325824917343,31.3115176877477,32.2068412328043,33.3235238711651,34.2399531185696,35.1990373376268,99.5058543520612
"lat_36_18897",166.15966430048,27.5599925682706,25.7631851073587,23.8828295069411,22.479345974611,21.4316576653552,20.3489924805437,19.0260438930479,18.0260647099353,16.7453067238075,15.6674300337058,14.3906100677513,13.5519096831945,12.5607662730829,11.1615493989894,9.89302872321755,8.84678316410256,7.53171112452606,6.32772286441768,4.85970432619729,3.3478793439478,2.04541977019403,0,1.55015439317807,3.23668005270037,5.30093347431551,7.29448575138271,10.5219095268956,11.6625217061919,12.932998165187,14.1908295944064,15.7005119135542,16.7499734809404,18.1771602981514,19.1885777173815,20.3729683681728,20.9252280145493,21.5818707875448,22.2320226766785,23.0116581076261,23.907256112066,24.8739989130112,25.664748152604,26.4410917518685,27.2915683948331,28.2333313635623,29.3155266703291,30.2180693625438,31.336966645604,32.2599408328759,33.2249728479268,97.6281620574657
"lat_36_19797",167.675774521826,29.0367255595868,27.2277773878036,25.3303391798662,23.9219378630536,22.8789289725611,21.8001252761765,20.4966977575067,19.4884138998767,18.2075186263378,17.1321771756551,15.8664479587497,15.0400143948631,14.0608555821656,12.6608353504081,11.3963356678211,10.3628766919024,9.05231058999215,7.85763190155063,6.39057440093681,4.87798821622543,3.58537393909521,1.55015439317807,0,1.68668038930218,3.75153744449336,5.74549396249033,8.9753866620122,10.1135276259714,11.3831306816639,12.6407808777853,14.1509071524368,15.2024093446774,16.6307971792944,17.6453863030758,18.8335902844501,19.3942369099887,20.0604065396045,20.7228291364963,21.5130589021061,22.4134677652578,23.3926408068754,24.193515270537,24.981201077332,25.8474578981597,26.795444191377,27.8818361879585,28.7939747773842,29.9154464806329,30.8467514387889,31.8191396700207,96.3217083309224
"lat_36_20697",169.319016907079,30.6421968330347,28.8212989332203,26.9072425742778,25.4946534860464,24.4569992934914,23.3827619029452,22.099610561523,21.0837894984435,19.8037631968394,18.7318138895399,17.477873420802,16.6638306745184,15.6967876541372,14.2972425262283,13.0376741118874,12.0166138994937,10.7112457047353,9.52552131860087,8.06080502995795,6.55006849474671,5.26559524534224,3.23668005270037,1.68668038930218,0,2.06533229905987,4.05950520142833,7.29179658301544,8.4273361809635,9.69645115813661,10.9550934910369,12.4663977305253,13.5218355733993,14.9521758726942,15.9717708768883,17.1656258910647,17.7384168509538,18.4178696777323,19.0969916872997,19.9012306491836,20.8076413008673,21.8027827229683,22.6164804053382,23.4184325962655,24.3044497339629,25.2597676576824,26.3508084312739,27.2745026548211,28.398541379169,29.3397240474013,30.320711432266,94.9269524263281
"lat_36_21597",171.316638776922,32.5997787191082,30.7654320611917,28.832921904147,27.4164645560366,26.3858105497975,25.3176989682786,24.0588534750769,23.0352496360899,21.7574004805764,20.6903411895002,19.4508174218479,18.6513033893859,17.6985410656824,16.3008573436861,15.0479236985391,14.0410655018843,12.7424274548945,11.5670484166547,10.106063195151,8.59878883412639,7.32287778615184,5.30093347431551,3.75153744449336,2.06533229905987,0,1.9941819592639,5.22824709959159,6.36204704920076,7.63237138560418,8.89579075813323,10.4102229782581,11.4746855678534,12.9086773905697,13.9378218064055,15.1417089390263,15.7358169466915,16.4375071385207,17.1437500646112,17.9698421268991,18.8847785095928,19.9038927667237,20.7364787816898,21.5592765732044,22.4740360734169,23.4390459941339,24.5355932146123,25.4752114434034,26.6016723881906,27.5561929174113,28.5485568660419,93.2712044294454
"lat_36_22496",173.244828682491,34.4993695714712,32.6541043053206,30.7067107780911,29.2878128951036,28.2637629530707,27.2015276714228,25.9638256865019,24.9344397949705,23.659331159459,22.5971048712153,21.3701999418158,20.5828811078617,19.6420536509026,18.2467853875421,16.9998472519708,16.0043213537343,14.7114342712809,13.5440924642907,12.0864524861806,10.5822901161409,9.31215992981641,7.29448575138271,5.74549396249033,4.05950520142833,1.9941819592639,0,3.2373056869961,4.36806275835679,5.64074060694888,6.91178811745026,8.43022606859798,9.50701002246705,10.944930744749,11.9859747073513,13.2017664829159,13.8222504193992,14.5506871705476,15.2890448079744,16.1400167262376,17.063382645053,18.1088640870069,18.9618787391281,19.8071582286765,20.7529889024663,21.7270825750253,22.8277946352449,23.7835706945125,24.9108399692708,25.8785966902674,26.8819549354982,91.6934534461898
