"","year","enso"
"312",2021.5,-1.44
"357",2021.58333333333,-1.29
"402",2021.66666666667,-1.38
"447",2021.75,-1.46
"492",2021.83333333333,-1.39
"537",2021.91666666667,-1.2
"43",2022,-1.01
"88",2022.08333333333,-0.98
"133",2022.16666666667,-1.31
"178",2022.25,-1.61
"223",2022.33333333333,-1.63
"268",2022.41666666667,-1.9
"313",2022.5,-2.17
"358",2022.58333333333,-1.75
"403",2022.66666666667,-1.73
"448",2022.75,-1.73
"493",2022.83333333333,-1.53
"538",2022.91666666667,-1.28
"44",2023,-1.11
"89",2023.08333333333,-0.91
"134",2023.16666666667,-0.76
"179",2023.25,-0.37
"224",2023.33333333333,-0.06
"269",2023.41666666667,0.43
"314",2023.5,0.5
"359",2023.58333333333,0.51
"404",2023.66666666667,0.68
"449",2023.75,0.48
"494",2023.83333333333,0.91
"539",2023.91666666667,1.13
"45",2024,0.7
"90",2024.08333333333,0.68
"135",2024.16666666667,0.78
"180",2024.25,0.34
"225",2024.33333333333,0.12
"270",2024.41666666667,-0.23
"315",2024.5,-0.72
"360",2024.58333333333,-0.73
"405",2024.66666666667,-0.65
"450",2024.75,-0.52
"495",2024.83333333333,-0.68
"540",2024.91666666667,-0.91
